Name        Height(m)   Weight(kg)  BMI         
Joe         1.82        72.57       21.91       
Mary        1.60        63.50       24.80       
Dion        1.90        90.71       25.13       
Kayla       1.72        66.31       22.41       
Jose        1.78        70.23       22.17       
Sofia       1.63        65.12       24.51       
Erik        1.98        92.21       23.52       
Sara        1.57        65.77       26.68       

Average     1.75        73.30       23.89       
Max         1.98        92.21       26.68       
Min         1.57        63.50       21.91       
